Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,wac,bac,iac,aac,nac
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0400000US01,1,Alabama,89562,8363,5702,1580,2259
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0400000US01,1,Alabama,1594731,592717,25858,31076,2013
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0400000US01,1,Alabama,1684293,601080,31560,32656,4272
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0400000US01,1,Alabama,159985,15775,9978,2909,3857
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,1,Alabama,3260522,1272937,52951,65448,4127
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0400000US01,1,Alabama,3420507,1288712,62929,68357,7984
est72010,1-Jul-10,female,Female,hisp,Hispanic,0400000US01,1,Alabama,71251,7449,4234,1315,1583
est72010,1-Jul-10,female,Female,nhisp,Not Hispanic,0400000US01,1,Alabama,1667206,681483,27213,34716,2122
est72010,1-Jul-10,female,Female,tothisp,Total,0400000US01,1,Alabama,1738457,688932,31447,36031,3705
est72010,1-Jul-10,male,Male,hisp,Hispanic,0400000US01,1,Alabama,89927,8394,5654,1568,2236
est72010,1-Jul-10,male,Male,nhisp,Not Hispanic,0400000US01,1,Alabama,1594700,593810,25955,31367,2003
est72010,1-Jul-10,male,Male,tothisp,Total,0400000US01,1,Alabama,1684627,602204,31609,32935,4239
est72010,1-Jul-10,totsex,Both Sexes,hisp,Hispanic,0400000US01,1,Alabama,161178,15843,9888,2883,3819
est72010,1-Jul-10,totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,1,Alabama,3261906,1275293,53168,66083,4125
est72010,1-Jul-10,totsex,Both Sexes,tothisp,Total,0400000US01,1,Alabama,3423084,1291136,63056,68966,7944
est72011,1-Jul-11,female,Female,hisp,Hispanic,0400000US01,1,Alabama,74170,7643,4257,1308,1526
est72011,1-Jul-11,female,Female,nhisp,Not Hispanic,0400000US01,1,Alabama,1668415,685978,27515,36252,2182
est72011,1-Jul-11,female,Female,tothisp,Total,0400000US01,1,Alabama,1742585,693621,31772,37560,3708
est72011,1-Jul-11,male,Male,hisp,Hispanic,0400000US01,1,Alabama,91282,8564,5599,1570,2109
est72011,1-Jul-11,male,Male,nhisp,Not Hispanic,0400000US01,1,Alabama,1596822,596998,26307,32547,2076
est72011,1-Jul-11,male,Male,tothisp,Total,0400000US01,1,Alabama,1688104,605562,31906,34117,4185
est72011,1-Jul-11,totsex,Both Sexes,hisp,Hispanic,0400000US01,1,Alabama,165452,16207,9856,2878,3635
est72011,1-Jul-11,totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,1,Alabama,3265237,1282976,53822,68799,4258
est72011,1-Jul-11,totsex,Both Sexes,tothisp,Total,0400000US01,1,Alabama,3430689,1299183,63678,71677,7893
est72012,1-Jul-12,female,Female,hisp,Hispanic,0400000US01,1,Alabama,75748,7942,4262,1289,1471
est72012,1-Jul-12,female,Female,nhisp,Not Hispanic,0400000US01,1,Alabama,1669915,690316,27831,37950,2297
est72012,1-Jul-12,female,Female,tothisp,Total,0400000US01,1,Alabama,1745663,698258,32093,39239,3768
est72012,1-Jul-12,male,Male,hisp,Hispanic,0400000US01,1,Alabama,91498,8792,5570,1488,2047
est72012,1-Jul-12,male,Male,nhisp,Not Hispanic,0400000US01,1,Alabama,1598752,601081,26647,34037,2161
est72012,1-Jul-12,male,Male,tothisp,Total,0400000US01,1,Alabama,1690250,609873,32217,35525,4208
est72012,1-Jul-12,totsex,Both Sexes,hisp,Hispanic,0400000US01,1,Alabama,167246,16734,9832,2777,3518
est72012,1-Jul-12,totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,1,Alabama,3268667,1291397,54478,71987,4458
est72012,1-Jul-12,totsex,Both Sexes,tothisp,Total,0400000US01,1,Alabama,3435913,1308131,64310,74764,7976
est72013,1-Jul-13,female,Female,hisp,Hispanic,0400000US01,1,Alabama,77576,8236,4354,1317,1438
est72013,1-Jul-13,female,Female,nhisp,Not Hispanic,0400000US01,1,Alabama,1670410,695116,28139,39511,2395
est72013,1-Jul-13,female,Female,tothisp,Total,0400000US01,1,Alabama,1747986,703352,32493,40828,3833
est72013,1-Jul-13,male,Male,hisp,Hispanic,0400000US01,1,Alabama,91929,8966,5480,1506,1964
est72013,1-Jul-13,male,Male,nhisp,Not Hispanic,0400000US01,1,Alabama,1599457,606029,26920,35325,2244
est72013,1-Jul-13,male,Male,tothisp,Total,0400000US01,1,Alabama,1691386,614995,32400,36831,4208
est72013,1-Jul-13,totsex,Both Sexes,hisp,Hispanic,0400000US01,1,Alabama,169505,17202,9834,2823,3402
est72013,1-Jul-13,totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,1,Alabama,3269867,1301145,55059,74836,4639
est72013,1-Jul-13,totsex,Both Sexes,tothisp,Total,0400000US01,1,Alabama,3439372,1318347,64893,77659,8041
est72014,1-Jul-14,female,Female,hisp,Hispanic,0400000US01,1,Alabama,79606,8537,4460,1350,1466
est72014,1-Jul-14,female,Female,nhisp,Not Hispanic,0400000US01,1,Alabama,1671502,700276,28543,41232,2464
est72014,1-Jul-14,female,Female,tothisp,Total,0400000US01,1,Alabama,1751108,708813,33003,42582,3930
est72014,1-Jul-14,male,Male,hisp,Hispanic,0400000US01,1,Alabama,93131,9291,5532,1514,1972
est72014,1-Jul-14,male,Male,nhisp,Not Hispanic,0400000US01,1,Alabama,1599478,610071,27229,36755,2296
est72014,1-Jul-14,male,Male,tothisp,Total,0400000US01,1,Alabama,1692609,619362,32761,38269,4268
est72014,1-Jul-14,totsex,Both Sexes,hisp,Hispanic,0400000US01,1,Alabama,172737,17828,9992,2864,3438
est72014,1-Jul-14,totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,1,Alabama,3270980,1310347,55772,77987,4760
est72014,1-Jul-14,totsex,Both Sexes,tothisp,Total,0400000US01,1,Alabama,3443717,1328175,65764,80851,8198
est72015,1-Jul-15,female,Female,hisp,Hispanic,0400000US01,1,Alabama,81399,9017,4624,1390,1516
est72015,1-Jul-15,female,Female,nhisp,Not Hispanic,0400000US01,1,Alabama,1670764,705052,28864,42814,2568
est72015,1-Jul-15,female,Female,tothisp,Total,0400000US01,1,Alabama,1752163,714069,33488,44204,4084
est72015,1-Jul-15,male,Male,hisp,Hispanic,0400000US01,1,Alabama,94467,9698,5672,1546,1976
est72015,1-Jul-15,male,Male,nhisp,Not Hispanic,0400000US01,1,Alabama,1597540,614520,27573,38172,2357
est72015,1-Jul-15,male,Male,tothisp,Total,0400000US01,1,Alabama,1692007,624218,33245,39718,4333
est72015,1-Jul-15,totsex,Both Sexes,hisp,Hispanic,0400000US01,1,Alabama,175866,18715,10296,2936,3492
est72015,1-Jul-15,totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,1,Alabama,3268304,1319572,56437,80986,4925
est72015,1-Jul-15,totsex,Both Sexes,tothisp,Total,0400000US01,1,Alabama,3444170,1338287,66733,83922,8417
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0400000US02,2,Alaska,15303,1867,2959,1091,432
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0400000US02,2,Alaska,234832,13946,66253,25502,5148
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0400000US02,2,Alaska,250135,15813,69212,26593,5580
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0400000US02,2,Alaska,16081,1836,3316,1216,389
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0400000US02,2,Alaska,261493,16518,67234,23134,5391
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0400000US02,2,Alaska,277574,18354,70550,24350,5780
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0400000US02,2,Alaska,31384,3703,6275,2307,821
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0400000US02,2,Alaska,496325,30464,133487,48636,10539
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0400000US02,2,Alaska,527709,34167,139762,50943,11360
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0400000US02,2,Alaska,15303,1867,2959,1091,432
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0400000US02,2,Alaska,234833,13946,66255,25503,5148
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0400000US02,2,Alaska,250136,15813,69214,26594,5580
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0400000US02,2,Alaska,16084,1836,3316,1216,389
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0400000US02,2,Alaska,261500,16519,67235,23137,5391
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0400000US02,2,Alaska,277584,18355,70551,24353,5780
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0400000US02,2,Alaska,31387,3703,6275,2307,821
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0400000US02,2,Alaska,496333,30465,133490,48640,10539
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0400000US02,2,Alaska,527720,34168,139765,50947,11360
est72010,1-Jul-10,female,Female,hisp,Hispanic,0400000US02,2,Alaska,15569,1889,3029,1116,443
est72010,1-Jul-10,female,Female,nhisp,Not Hispanic,0400000US02,2,Alaska,235637,14091,66492,25734,5209
est72010,1-Jul-10,female,Female,tothisp,Total,0400000US02,2,Alaska,251206,15980,69521,26850,5652
est72010,1-Jul-10,male,Male,hisp,Hispanic,0400000US02,2,Alaska,16425,1853,3397,1236,410
est72010,1-Jul-10,male,Male,nhisp,Not Hispanic,0400000US02,2,Alaska,262601,16802,67390,23428,5450
est72010,1-Jul-10,male,Male,tothisp,Total,0400000US02,2,Alaska,279026,18655,70787,24664,5860
est72010,1-Jul-10,totsex,Both Sexes,hisp,Hispanic,0400000US02,2,Alaska,31994,3742,6426,2352,853
est72010,1-Jul-10,totsex,Both Sexes,nhisp,Not Hispanic,0400000US02,2,Alaska,498238,30893,133882,49162,10659
est72010,1-Jul-10,totsex,Both Sexes,tothisp,Total,0400000US02,2,Alaska,530232,34635,140308,51514,11512
est72011,1-Jul-11,female,Female,hisp,Hispanic,0400000US02,2,Alaska,16429,1921,3205,1159,455
est72011,1-Jul-11,female,Female,nhisp,Not Hispanic,0400000US02,2,Alaska,237680,14624,67089,26612,5436
est72011,1-Jul-11,female,Female,tothisp,Total,0400000US02,2,Alaska,254109,16545,70294,27771,5891
est72011,1-Jul-11,male,Male,hisp,Hispanic,0400000US02,2,Alaska,17416,1961,3631,1310,450
est72011,1-Jul-11,male,Male,nhisp,Not Hispanic,0400000US02,2,Alaska,263205,17394,67934,24349,5674
est72011,1-Jul-11,male,Male,tothisp,Total,0400000US02,2,Alaska,280621,19355,71565,25659,6124
est72011,1-Jul-11,totsex,Both Sexes,hisp,Hispanic,0400000US02,2,Alaska,33845,3882,6836,2469,905
est72011,1-Jul-11,totsex,Both Sexes,nhisp,Not Hispanic,0400000US02,2,Alaska,500885,32018,135023,50961,11110
est72011,1-Jul-11,totsex,Both Sexes,tothisp,Total,0400000US02,2,Alaska,534730,35900,141859,53430,12015
est72012,1-Jul-12,female,Female,hisp,Hispanic,0400000US02,2,Alaska,17589,2026,3489,1175,463
est72012,1-Jul-12,female,Female,nhisp,Not Hispanic,0400000US02,2,Alaska,237387,15290,67158,27440,5754
est72012,1-Jul-12,female,Female,tothisp,Total,0400000US02,2,Alaska,254976,17316,70647,28615,6217
est72012,1-Jul-12,male,Male,hisp,Hispanic,0400000US02,2,Alaska,19234,2063,3890,1357,460
est72012,1-Jul-12,male,Male,nhisp,Not Hispanic,0400000US02,2,Alaska,264426,18687,67985,25262,5946
est72012,1-Jul-12,male,Male,tothisp,Total,0400000US02,2,Alaska,283660,20750,71875,26619,6406
est72012,1-Jul-12,totsex,Both Sexes,hisp,Hispanic,0400000US02,2,Alaska,36823,4089,7379,2532,923
est72012,1-Jul-12,totsex,Both Sexes,nhisp,Not Hispanic,0400000US02,2,Alaska,501813,33977,135143,52702,11700
est72012,1-Jul-12,totsex,Both Sexes,tothisp,Total,0400000US02,2,Alaska,538636,38066,142522,55234,12623
est72013,1-Jul-13,female,Female,hisp,Hispanic,0400000US02,2,Alaska,18305,2025,3641,1198,480
est72013,1-Jul-13,female,Female,nhisp,Not Hispanic,0400000US02,2,Alaska,235716,15551,67074,28177,5939
est72013,1-Jul-13,female,Female,tothisp,Total,0400000US02,2,Alaska,254021,17576,70715,29375,6419
est72013,1-Jul-13,male,Male,hisp,Hispanic,0400000US02,2,Alaska,21032,2169,4116,1395,483
est72013,1-Jul-13,male,Male,nhisp,Not Hispanic,0400000US02,2,Alaska,266220,19615,68297,26189,6136
est72013,1-Jul-13,male,Male,tothisp,Total,0400000US02,2,Alaska,287252,21784,72413,27584,6619
est72013,1-Jul-13,totsex,Both Sexes,hisp,Hispanic,0400000US02,2,Alaska,39337,4194,7757,2593,963
est72013,1-Jul-13,totsex,Both Sexes,nhisp,Not Hispanic,0400000US02,2,Alaska,501936,35166,135371,54366,12075
est72013,1-Jul-13,totsex,Both Sexes,tothisp,Total,0400000US02,2,Alaska,541273,39360,143128,56959,13038
est72014,1-Jul-14,female,Female,hisp,Hispanic,0400000US02,2,Alaska,18884,2047,3663,1195,484
est72014,1-Jul-14,female,Female,nhisp,Not Hispanic,0400000US02,2,Alaska,233675,15436,67051,29044,6097
est72014,1-Jul-14,female,Female,tothisp,Total,0400000US02,2,Alaska,252559,17483,70714,30239,6581
est72014,1-Jul-14,male,Male,hisp,Hispanic,0400000US02,2,Alaska,21785,2240,4274,1429,498
est72014,1-Jul-14,male,Male,nhisp,Not Hispanic,0400000US02,2,Alaska,264640,19814,68474,27005,6339
est72014,1-Jul-14,male,Male,tothisp,Total,0400000US02,2,Alaska,286425,22054,72748,28434,6837
est72014,1-Jul-14,totsex,Both Sexes,hisp,Hispanic,0400000US02,2,Alaska,40669,4287,7937,2624,982
est72014,1-Jul-14,totsex,Both Sexes,nhisp,Not Hispanic,0400000US02,2,Alaska,498315,35250,135525,56049,12436
est72014,1-Jul-14,totsex,Both Sexes,tothisp,Total,0400000US02,2,Alaska,538984,39537,143462,58673,13418
est72015,1-Jul-15,female,Female,hisp,Hispanic,0400000US02,2,Alaska,19275,2123,3672,1190,503
est72015,1-Jul-15,female,Female,nhisp,Not Hispanic,0400000US02,2,Alaska,232477,15492,67134,29851,6328
est72015,1-Jul-15,female,Female,tothisp,Total,0400000US02,2,Alaska,251752,17615,70806,31041,6831
est72015,1-Jul-15,male,Male,hisp,Hispanic,0400000US02,2,Alaska,22365,2344,4353,1435,522
est72015,1-Jul-15,male,Male,nhisp,Not Hispanic,0400000US02,2,Alaska,264322,20146,68667,27881,6510
est72015,1-Jul-15,male,Male,tothisp,Total,0400000US02,2,Alaska,286687,22490,73020,29316,7032
est72015,1-Jul-15,totsex,Both Sexes,hisp,Hispanic,0400000US02,2,Alaska,41640,4467,8025,2625,1025
est72015,1-Jul-15,totsex,Both Sexes,nhisp,Not Hispanic,0400000US02,2,Alaska,496799,35638,135801,57732,12838
est72015,1-Jul-15,totsex,Both Sexes,tothisp,Total,0400000US02,2,Alaska,538439,40105,143826,60357,13863
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0400000US04,4,Arizona,873162,27508,48330,14329,4039
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0400000US04,4,Arizona,1922943,136231,150968,112707,9640
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0400000US04,4,Arizona,2796105,163739,199298,127036,13679
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0400000US04,4,Arizona,879503,26851,51441,14181,4122
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0400000US04,4,Arizona,1879261,148039,143457,100772,10630
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0400000US04,4,Arizona,2758764,174890,194898,114953,14752
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0400000US04,4,Arizona,1752665,54359,99771,28510,8161
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0400000US04,4,Arizona,3802204,284270,294425,213479,20270
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0400000US04,4,Arizona,5554869,338629,394196,241989,28431
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0400000US04,4,Arizona,873162,27508,48330,14329,4039
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0400000US04,4,Arizona,1923005,136231,150968,112708,9640
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0400000US04,4,Arizona,2796167,163739,199298,127037,13679
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0400000US04,4,Arizona,879526,26851,51443,14181,4122
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0400000US04,4,Arizona,1879440,148055,143463,100775,10632
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0400000US04,4,Arizona,2758966,174906,194906,114956,14754
